sex,ageband_at_study_entry,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,70-79,2021-02,11778,11778,11778,11778,11778,11778,11778,11750,11778,11778,11778,11750,11778,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-03,12568,12568,12568,12568,12568,12568,12568,12537,12568,12568,12568,12537,12568,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-04,7807,7807,7807,7807,7807,7807,7807,7777,7807,7807,7807,7777,7807,0,0,0,0,0,0,0,0,0,0,0,0
0,70-79,2021-05,2970,2970,2970,2970,2960,2970,2960,2964,2970,2970,2970,2964,2970,0,0,0,< 5,0,< 5,0,0,0,0,0,0
1,0-4,2020-01,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,3813,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-02,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,3566,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-03,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-04,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-05,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-06,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-07,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-08,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,3782,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-09,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,3660,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-10,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,3742,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-11,3578,3578,3578,3578,3578,3578,3578,3578,3578,3578,3578,3578,3578,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2020-12,3669,3669,3669,3669,3669,3669,3669,3669,3669,3669,3669,3669,3669,0,0,0,0,0,0,0,0,0,0,0,0
1,0-4,2021-01,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,3650,0,0,0,0,0,0,0,0,0,0,0,0
