sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
F,0,,0,August,12-17,2063,2020
F,0,,0,September,12-17,1980,2020
F,0,,0,October,12-17,2077,2020
F,0,,0,November,12-17,1908,2020
F,0,,0,December,12-17,1905,2020
F,0,,0,January,12-17,1850,2021
F,0,,0,February,12-17,1677,2021
F,0,,0,March,12-17,1933,2021
F,0,,0,April,12-17,1823,2021
F,0,,0,May,12-17,1816,2021
F,0,,0,June,12-17,1701,2021
F,0,,0,June,50-59,2695,2021
M,0,,0,February,50-59,5853,2019
M,0,,0,March,50-59,6470,2019
M,0,,0,April,50-59,6369,2019
M,0,,0,May,50-59,6533,2019
M,0,,0,February,5-11,2854,2021
M,0,,0,March,5-11,3192,2021
M,0,,0,April,5-11,3120,2021
M,0,,0,May,5-11,3203,2021
M,0,,0,June,5-11,3093,2021
F,0,,0,January,70-79,5057,2019
F,0,,0,February,70-79,4544,2019
F,0,,0,March,70-79,4897,2019
F,0,,0,April,70-79,4703,2019
F,0,,0,May,70-79,4889,2019
F,0,,0,June,70-79,4740,2019
F,0,,0,July,70-79,4837,2019
F,0,,0,August,70-79,4834,2019
F,0,,0,September,70-79,4726,2019
F,0,,0,October,70-79,4817,2019
F,0,,0,November,70-79,4680,2019
F,0,,0,December,70-79,4823,2019
F,0,,0,January,70-79,4833,2020
F,0,,0,February,70-79,4504,2020
F,0,,0,March,70-79,4837,2020
F,0,,0,April,70-79,4655,2020
F,0,,0,May,70-79,4801,2020
F,0,,0,June,70-79,4656,2020
F,0,,0,July,70-79,4846,2020
F,0,,0,August,70-79,4886,2020
F,0,,0,September,70-79,4670,2020
F,0,,0,October,70-79,4780,2020
F,0,,0,November,70-79,4654,2020
F,0,,0,December,70-79,4804,2020
F,0,,0,January,70-79,4748,2021
F,0,,0,January,18-24,2495,2019
F,0,,0,February,18-24,2185,2019
F,0,,0,March,18-24,2410,2019
F,0,,0,April,18-24,2340,2019
F,0,,0,May,18-24,2415,2019
F,0,,0,June,18-24,2280,2019
F,0,,0,July,18-24,2340,2019
F,0,,0,August,18-24,2404,2019
F,0,,0,September,18-24,2328,2019
F,0,,0,October,18-24,2408,2019
F,0,,0,November,18-24,2334,2019
F,0,,0,December,18-24,2460,2019
F,0,,0,January,18-24,2502,2020
F,0,,0,February,18-24,2298,2020
F,0,,0,March,18-24,2471,2020
F,0,,0,April,18-24,2403,2020
F,0,,0,May,18-24,2520,2020
F,0,,0,June,18-24,2460,2020
F,0,,0,July,18-24,2516,2020
F,0,,0,August,18-24,2490,2020
F,0,,0,September,18-24,2413,2020
F,1,pfizer,0,January,50-59,196,2021
F,1,pfizer,0,February,50-59,229,2021
F,2,pfizer,0,February,50-59,200,2021
F,2,pfizer,0,March,50-59,299,2021
F,2,pfizer,0,April,50-59,301,2021
F,2,pfizer,0,May,50-59,386,2021
F,2,pfizer,0,June,50-59,628,2021
F,0,,0,January,5-11,2472,2019
F,0,,0,February,5-11,2216,2019
F,0,,0,March,5-11,2408,2019
F,0,,0,April,5-11,2301,2019
F,0,,0,May,5-11,2386,2019
F,0,,0,June,5-11,2316,2019
F,0,,0,July,5-11,2386,2019
F,0,,0,August,5-11,2347,2019
F,0,,0,September,5-11,2231,2019
F,0,,0,October,5-11,2359,2019
F,0,,0,November,5-11,2256,2019
F,0,,0,December,5-11,2255,2019
F,0,,0,January,5-11,2191,2020
F,0,,0,February,5-11,2020,2020
F,0,,0,March,5-11,2087,2020
F,0,,0,April,5-11,2028,2020
F,0,,0,May,5-11,2108,2020
F,0,,0,June,5-11,2087,2020
F,0,,0,July,5-11,2232,2020
F,0,,0,August,5-11,2180,2020
F,0,,0,September,5-11,2120,2020
F,0,,0,October,5-11,2208,2020
F,0,,0,November,5-11,2137,2020
