sex,month,year,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b,IR_covid_severity_1_plus,lb_covid_severity_1_plus,ub_covid_severity_1_plus,IR_covid_severity_2_plus,lb_covid_severity_2_plus,ub_covid_severity_2_plus,IR_covid_severity_3_plus,lb_covid_severity_3_plus,ub_covid_severity_3_plus,IR_covid_severity_4_plus,lb_covid_severity_4_plus,ub_covid_severity_4_plus
1,3,2021,0-4,744,744,744,744,744,0,0,0,0,0,0,181097.21,0,0,181097.21,0,0,181097.21,0,0,181097.21
1,3,2021,12-17,1994,1994,1994,1994,1994,0,0,0,0,0,0,67570.87,0,0,67570.87,0,0,67570.87,0,0,67570.87
1,3,2021,5-11,2381,2381,2381,2381,2381,0,0,0,0,0,0,56588.12,0,0,56588.12,0,0,56588.12,0,0,56588.12
1,4,2021,0-4,713,713,713,713,713,0,0,0,0,0,0,188971,0,0,188971,0,0,188971,0,0,188971
1,4,2021,12-17,1930,1930,1930,1930,1930,0,0,0,0,0,0,69811.57,0,0,69811.57,0,0,69811.57,0,0,69811.57
1,4,2021,5-11,2280,2280,2280,2280,2280,0,0,0,0,0,0,59094.88,0,0,59094.88,0,0,59094.88,0,0,59094.88
1,5,2021,0-4,706,706,706,706,706,0,0,0,0,0,0,190844.65,0,0,190844.65,0,0,190844.65,0,0,190844.65
1,5,2021,12-17,1960,1960,1960,1960,1960,0,0,0,0,0,0,68743.02,0,0,68743.02,0,0,68743.02,0,0,68743.02
1,5,2021,5-11,2356,2356,2356,2356,2356,0,0,0,0,0,0,57188.59,0,0,57188.59,0,0,57188.59,0,0,57188.59
1,6,2021,0-4,660,660,660,660,660,0,0,0,0,0,0,204145.94,0,0,204145.94,0,0,204145.94,0,0,204145.94
1,6,2021,12-17,1783,1783,1783,1783,1783,0,0,0,0,0,0,75567.2,0,0,75567.2,0,0,75567.2,0,0,75567.2
1,6,2021,5-11,2244,2244,2244,2244,2244,0,0,0,0,0,0,60042.92,0,0,60042.92,0,0,60042.92,0,0,60042.92
both_sexes,1,2020,0-4,2585,2585,2585,2585,2585,0,0,0,0,0,0,52122.37,0,0,52122.37,0,0,52122.37,0,0,52122.37
both_sexes,1,2020,12-17,4446,4446,4446,4446,4446,0,0,0,0,0,0,30305.07,0,0,30305.07,0,0,30305.07,0,0,30305.07
both_sexes,1,2020,5-11,4549,4549,4549,4549,4549,0,0,0,0,0,0,29618.89,0,0,29618.89,0,0,29618.89,0,0,29618.89
both_sexes,2,2020,0-4,2377,2377,2377,2377,2377,0,0,0,0,0,0,56683.35,0,0,56683.35,0,0,56683.35,0,0,56683.35
both_sexes,2,2020,12-17,4166,4166,4166,4166,4166,0,0,0,0,0,0,32341.89,0,0,32341.89,0,0,32341.89,0,0,32341.89
both_sexes,2,2020,5-11,4204,4204,4204,4204,4204,0,0,0,0,0,0,32049.55,0,0,32049.55,0,0,32049.55,0,0,32049.55
both_sexes,3,2020,0-4,2504,2504,2504,2504,2504,0,0,0,0,0,0,53808.44,0,0,53808.44,0,0,53808.44,0,0,53808.44
both_sexes,3,2020,12-17,4421,4421,4421,4421,4421,0,0,0,0,0,0,30476.44,0,0,30476.44,0,0,30476.44,0,0,30476.44
both_sexes,3,2020,5-11,4397,4397,4397,4397,4397,0,0,0,0,0,0,30642.78,0,0,30642.78,0,0,30642.78,0,0,30642.78
both_sexes,4,2020,0-4,2332,2332,2332,2332,2332,0,0,0,0,0,0,57777.15,0,0,57777.15,0,0,57777.15,0,0,57777.15
both_sexes,4,2020,12-17,4170,4170,4170,4170,4170,0,0,0,0,0,0,32310.87,0,0,32310.87,0,0,32310.87,0,0,32310.87
both_sexes,4,2020,5-11,4257,4257,4257,4257,4257,0,0,0,0,0,0,31650.53,0,0,31650.53,0,0,31650.53,0,0,31650.53
both_sexes,5,2020,0-4,2354,2354,2354,2354,2354,0,0,0,0,0,0,57237.18,0,0,57237.18,0,0,57237.18,0,0,57237.18
both_sexes,5,2020,12-17,4168,4168,4168,4168,4168,0,0,0,0,0,0,32326.37,0,0,32326.37,0,0,32326.37,0,0,32326.37
