sex,month,year,Ageband,Persontime,Persontime_covid_severity_1_plus,Persontime_covid_severity_2_plus,Persontime_covid_severity_3_plus,Persontime_covid_severity_4_plus,covid_severity_1_plus_b,covid_severity_2_plus_b,covid_severity_3_plus_b,covid_severity_4_plus_b,IR_covid_severity_1_plus,lb_covid_severity_1_plus,ub_covid_severity_1_plus,IR_covid_severity_2_plus,lb_covid_severity_2_plus,ub_covid_severity_2_plus,IR_covid_severity_3_plus,lb_covid_severity_3_plus,ub_covid_severity_3_plus,IR_covid_severity_4_plus,lb_covid_severity_4_plus,ub_covid_severity_4_plus
0,11,2020,all_birth_cohorts,55,0,55,55,55,1,0,0,0,0,0,0,0,0,2449751.31,0,0,2449751.31,0,0,2449751.31
0,12,2020,all_birth_cohorts,69,2,69,69,69,1,0,0,0,18262500,462366.47,101752137.43,0,0,1952700.32,0,0,1952700.32,0,0,1952700.32
0,1,2021,all_birth_cohorts,119,58,119,119,119,1,0,0,0,629741.38,15943.67,3508694.39,0,0,1132238,0,0,1132238,0,0,1132238
0,2,2021,all_birth_cohorts,112,62,112,112,112,0,0,0,0,0,0,2173166.48,0,0,1203002.88,0,0,1203002.88,0,0,1203002.88
0,3,2021,all_birth_cohorts,124,118,124,124,124,0,0,0,0,0,0,1141833.24,0,0,1086583.24,0,0,1086583.24,0,0,1086583.24
0,4,2021,all_birth_cohorts,120,120,120,120,120,0,0,0,0,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68,0,0,1122802.68
0,5,2021,all_birth_cohorts,124,124,124,124,124,0,0,0,0,0,0,1086583.24,0,0,1086583.24,0,0,1086583.24,0,0,1086583.24
0,6,2021,all_birth_cohorts,116,116,116,116,116,0,0,0,0,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02
1,12,2020,all_birth_cohorts,35,0,31,31,35,2,1,1,0,0,0,0,1178225.81,29830.09,6564654.03,1178225.81,29830.09,6564654.03,0,0,3849609.2
1,1,2021,all_birth_cohorts,62,2,31,31,62,0,0,0,0,0,0,67368161.03,0,0,4346332.97,0,0,4346332.97,0,0,2173166.48
1,2,2021,all_birth_cohorts,56,31,31,31,56,0,0,0,0,0,0,4346332.97,0,0,4346332.97,0,0,4346332.97,0,0,2406005.75
1,3,2021,all_birth_cohorts,62,62,62,62,62,0,0,0,0,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
1,4,2021,all_birth_cohorts,60,60,60,60,60,0,0,0,0,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37
1,5,2021,all_birth_cohorts,62,62,62,62,62,0,0,0,0,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48,0,0,2173166.48
1,6,2021,all_birth_cohorts,60,60,60,60,60,0,0,0,0,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37,0,0,2245605.37
both_sexes,10,2020,all_birth_cohorts,1,0,1,1,1,1,0,0,0,0,0,0,0,0,134736322.06,0,0,134736322.06,0,0,134736322.06
both_sexes,11,2020,all_birth_cohorts,55,0,55,55,55,1,0,0,0,0,0,0,0,0,2449751.31,0,0,2449751.31,0,0,2449751.31
both_sexes,12,2020,all_birth_cohorts,104,2,100,100,104,3,1,1,0,54787500,11298499.64,160112324.44,365250,9247.33,2035042.75,365250,9247.33,2035042.75,0,0,1295541.56
both_sexes,1,2021,all_birth_cohorts,181,60,150,150,181,1,0,0,0,608750,15412.22,3391737.91,0,0,898242.15,0,0,898242.15,0,0,744399.57
both_sexes,2,2021,all_birth_cohorts,168,93,143,143,168,0,0,0,0,0,0,1448777.66,0,0,942212.04,0,0,942212.04,0,0,802001.92
both_sexes,3,2021,all_birth_cohorts,186,180,186,186,186,0,0,0,0,0,0,748535.12,0,0,724388.83,0,0,724388.83,0,0,724388.83
both_sexes,4,2021,all_birth_cohorts,180,180,180,180,180,0,0,0,0,0,0,748535.12,0,0,748535.12,0,0,748535.12,0,0,748535.12
both_sexes,5,2021,all_birth_cohorts,186,186,186,186,186,0,0,0,0,0,0,724388.83,0,0,724388.83,0,0,724388.83,0,0,724388.83
both_sexes,6,2021,all_birth_cohorts,176,176,176,176,176,0,0,0,0,0,0,765547.28,0,0,765547.28,0,0,765547.28,0,0,765547.28
0,all_months,2020,all_birth_cohorts,125,2,125,125,125,3,0,0,0,54787500,11298499.64,160112324.44,0,0,1077890.58,0,0,1077890.58,0,0,1077890.58
0,all_months,2021,all_birth_cohorts,715,598,715,715,715,1,0,0,0,61078.6,1546.38,340308.15,0,0,188442.41,0,0,188442.41,0,0,188442.41
1,all_months,2020,all_birth_cohorts,35,0,31,31,35,2,1,1,0,0,0,0,1178225.81,29830.09,6564654.03,1178225.81,29830.09,6564654.03,0,0,3849609.2
1,all_months,2021,all_birth_cohorts,362,277,306,306,362,0,0,0,0,0,0,486412.72,0,0,440314.78,0,0,440314.78,0,0,372199.78
both_sexes,all_months,2020,all_birth_cohorts,160,2,156,156,160,5,1,1,0,91312500,29648920.2,213092914.6,234134.62,5927.78,1304514.58,234134.62,5927.78,1304514.58,0,0,842102.01
both_sexes,all_months,2021,all_birth_cohorts,1077,875,1021,1021,1077,1,0,0,0,41742.86,1056.84,232576.31,0,0,131965.06,0,0,131965.06,0,0,125103.36
0,all_months,all_years,all_birth_cohorts,840,600,840,840,840,4,0,0,0,243500,66345.55,623456.71,0,0,160400.38,0,0,160400.38,0,0,160400.38
1,all_months,all_years,all_birth_cohorts,397,277,337,337,397,2,1,1,0,263718.41,31937.52,952641.58,108382.79,2744.01,603870.25,108382.79,2744.01,603870.25,0,0,339386.2
both_sexes,all_months,all_years,all_birth_cohorts,1237,877,1177,1177,1237,6,1,1,0,249885.97,91703.75,543896.57,31032.29,785.67,172900.83,31032.29,785.67,172900.83,0,0,108921.84
