sex,dose,type_vax,COVID19,month,Ageband,Persontime,year
F,2,pfizer,0,March,50-59,669,2021
F,2,pfizer,0,April,50-59,818,2021
F,2,pfizer,0,May,50-59,977,2021
M,0,,0,June,60-69,14190,2019
M,0,,0,July,60-69,14754,2019
M,0,,0,August,60-69,14694,2019
M,0,,0,September,60-69,14182,2019
M,0,,0,October,60-69,14556,2019
M,0,,0,November,60-69,13950,2019
M,0,,0,December,60-69,14340,2019
M,0,,0,January,60-69,14346,2020
M,0,,0,February,60-69,13436,2020
M,0,,0,March,60-69,14403,2020
M,0,,0,April,60-69,13993,2020
M,0,,0,May,60-69,14522,2020
M,0,,0,June,60-69,14147,2020
M,0,,0,July,60-69,14716,2020
M,0,,0,August,60-69,14771,2020
M,0,,0,September,60-69,14320,2020
M,0,,0,October,60-69,14788,2020
M,0,,0,November,60-69,14199,2020
M,0,,0,December,60-69,14666,2020
M,0,,0,January,60-69,14264,2021
M,1,pfizer,0,January,60-69,244,2021
M,1,pfizer,0,February,60-69,199,2021
M,2,pfizer,0,February,60-69,266,2021
M,2,pfizer,0,March,60-69,496,2021
M,2,pfizer,0,April,60-69,512,2021
M,2,pfizer,0,May,60-69,778,2021
M,2,pfizer,0,June,60-69,1728,2021
M,0,,0,January,30-39,11635,2019
M,0,,0,February,30-39,10462,2019
M,0,,0,March,30-39,11647,2019
M,0,,0,April,30-39,11262,2019
M,0,,0,May,30-39,11684,2019
M,0,,0,June,30-39,11236,2019
M,0,,0,July,30-39,11631,2019
M,0,,0,August,30-39,11709,2019
M,0,,0,September,30-39,11435,2019
M,0,,0,October,30-39,11859,2019
M,0,,0,November,30-39,11494,2019
M,0,,0,December,30-39,11904,2019
M,0,,0,January,30-39,11882,2020
M,0,,0,February,30-39,11265,2020
M,0,,0,March,30-39,12130,2020
M,0,,0,April,30-39,11750,2020
M,0,,0,May,30-39,12088,2020
M,0,,0,June,30-39,11736,2020
M,0,,0,July,30-39,12120,2020
M,0,,0,August,30-39,11822,2020
M,0,,0,September,30-39,11284,2020
M,0,,0,October,30-39,11624,2020
M,0,,0,November,30-39,11108,2020
M,0,,0,December,30-39,11391,2020
M,0,,0,January,30-39,11022,2021
M,0,,0,February,30-39,9667,2021
M,0,,0,March,30-39,10288,2021
M,0,,0,April,30-39,9767,2021
M,0,,0,May,30-39,9819,2021
M,0,,0,June,30-39,7962,2021
M,1,moderna,0,June,30-39,492,2021
M,0,,0,January,40-49,18041,2019
M,0,,0,February,40-49,16183,2019
M,0,,0,March,40-49,17839,2019
M,0,,0,April,40-49,17075,2019
M,0,,0,May,40-49,17575,2019
M,0,,0,June,40-49,17013,2019
M,0,,0,July,40-49,17556,2019
M,0,,0,August,40-49,17415,2019
M,0,,0,September,40-49,16667,2019
M,0,,0,October,40-49,17047,2019
M,0,,0,November,40-49,16554,2019
M,0,,0,December,40-49,17203,2019
M,0,,0,January,40-49,17201,2020
M,0,,0,February,40-49,15933,2020
M,0,,0,March,40-49,17052,2020
M,0,,0,April,40-49,16485,2020
M,0,,0,May,40-49,16934,2020
M,0,,0,June,40-49,16325,2020
M,0,,0,July,40-49,16912,2020
M,0,,0,August,40-49,16967,2020
M,0,,0,September,40-49,16508,2020
M,0,,0,October,40-49,16982,2020
M,0,,0,November,40-49,16494,2020
M,0,,0,December,40-49,17056,2020
M,0,,0,January,40-49,16860,2021
M,0,,0,February,40-49,14801,2021
M,0,,0,March,40-49,15641,2021
M,0,,0,April,40-49,14793,2021
M,0,,0,May,40-49,14605,2021
M,0,,0,June,40-49,11031,2021
F,0,,0,September,80+,13087,2019
F,0,,0,October,80+,13512,2019
F,0,,0,November,80+,13052,2019
F,0,,0,December,80+,13496,2019
F,0,,0,January,80+,13431,2020
F,0,,0,February,80+,12525,2020
F,0,,0,March,80+,13444,2020
F,0,,0,April,80+,12944,2020
F,0,,0,May,80+,13374,2020
F,0,,0,June,80+,12898,2020
F,0,,0,July,80+,13436,2020
F,0,,0,August,80+,13497,2020
F,0,,0,September,80+,13208,2020
F,0,,0,October,80+,13737,2020
F,0,,0,November,80+,13347,2020
F,0,,0,December,80+,13777,2020
F,0,,0,January,80+,13363,2021
F,0,,0,February,80+,11798,2021
F,0,,0,March,80+,10602,2021
F,1,pfizer,0,March,80+,2257,2021
F,2,pfizer,0,March,80+,504,2021
F,2,pfizer,0,April,80+,3230,2021
F,2,pfizer,0,May,80+,8226,2021
F,2,pfizer,0,June,80+,8655,2021
M,0,,0,January,50-59,18177,2019
M,0,,0,February,50-59,16531,2019
M,0,,0,March,50-59,18392,2019
M,0,,0,April,50-59,17893,2019
M,0,,0,May,50-59,18457,2019
M,0,,0,June,50-59,17949,2019
M,0,,0,July,50-59,18597,2019
M,0,,0,August,50-59,18601,2019
M,0,,0,September,50-59,18060,2019
M,0,,0,October,50-59,18918,2019
M,0,,0,November,50-59,18481,2019
M,0,,0,December,50-59,19122,2019
M,0,,0,January,50-59,19111,2020
M,0,,0,February,50-59,18021,2020
M,0,,0,March,50-59,19244,2020
M,0,,0,April,50-59,18624,2020
M,0,,0,May,50-59,19264,2020
M,0,,0,June,50-59,18546,2020
M,0,,0,July,50-59,19054,2020
M,0,,0,August,50-59,19208,2020
M,0,,0,September,50-59,18616,2020
M,0,,0,October,50-59,19396,2020
M,0,,0,November,50-59,18653,2020
M,0,,0,December,50-59,19141,2020
M,0,,0,January,50-59,18857,2021
M,0,,0,February,50-59,16532,2021
M,0,,0,March,50-59,17179,2021
M,0,,0,April,50-59,16055,2021
M,0,,0,May,50-59,15031,2021
M,0,,0,June,50-59,8845,2021
M,1,pfizer,0,June,50-59,5248,2021
M,0,,0,January,80+,8935,2019
M,0,,0,February,80+,8095,2019
M,0,,0,March,80+,8915,2019
M,0,,0,April,80+,8698,2019
M,0,,0,May,80+,9005,2019
