sex,month,year,Ageband,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
1,December,2020,18-24,7426,7426,7426,7426,7426,7426,7426,7426,7426,7426,7426,7426,7426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86,0,0,18143.86
1,January,2021,18-24,7283,7283,7283,7283,7283,7283,7283,7283,7283,7283,7283,7283,7283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11,0,0,18500.11
1,February,2021,18-24,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,6369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02,0,0,21155.02
1,March,2021,18-24,6885,6885,6885,6885,6885,6885,6885,6885,6885,6885,6885,6885,6885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55,0,0,19569.55
1,April,2021,18-24,6556,6556,6556,6556,6556,6556,6556,6556,6556,6556,6556,6556,6556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6,0,0,20551.6
1,May,2021,18-24,6474,6474,6474,6474,6474,6474,6474,6474,6474,6474,6474,6474,6474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91,0,0,20811.91
1,June,2021,18-24,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,5441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15,0,0,24763.15
0,January,2020,70-79,13719,13719,13719,13719,13719,13719,13719,13719,13719,13719,13719,13719,13719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15,0,0,9821.15
0,February,2020,70-79,12809,12809,12809,12809,12809,12809,12809,12787,12809,12809,12809,12787,12809,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10518.88,0,0,10518.88,0,0,10518.88,0,0,10518.88,0,0,10518.88,0,0,10518.88,2856.42,72.32,15914.94,0,0,10518.88,0,0,10518.88,0,0,10518.88,2856.42,72.32,15914.94,0,0,10518.88
0,March,2020,70-79,13656,13656,13656,13656,13656,13656,13656,13625,13656,13656,13656,13625,13656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9866.46,0,0,9866.46,0,0,9866.46,0,0,9866.46,0,0,9866.46,0,0,9866.46,0,0,9888.9,0,0,9866.46,0,0,9866.46,0,0,9866.46,0,0,9888.9,0,0,9866.46
