sex,ageband_at_study_entry,year,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
1,30-39,2021,60143,60143,60143,60143,60143,60143,60143,60143,60143,60143,60143,60143,60143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27,0,0,2240.27
1,40-49,2020,204178,204178,204178,204178,204178,204178,204178,204178,204178,204178,204178,204178,204178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9,0,0,659.9
1,40-49,2021,85992,85992,85992,85992,85992,85992,85992,85972,85992,85992,85992,85972,85992,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1566.85,0,0,1566.85,0,0,1566.85,0,0,1566.85,0,0,1566.85,0,0,1566.85,424.85,10.76,2367.1,0,0,1566.85,0,0,1566.85,0,0,1566.85,424.85,10.76,2367.1,0,0,1566.85
0,80+,2020,152985,152985,152985,152985,152619,152985,152619,152985,152985,152985,152985,152985,152985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,880.72,0,0,880.72,0,0,880.72,0,0,882.83,0,0,880.72,0,0,882.83,0,0,880.72,0,0,880.72,0,0,880.72,0,0,880.72,0,0,880.72,0,0,880.72
0,80+,2021,38594,38594,38594,38594,38455,38594,38455,38594,38594,38594,38594,38594,38594,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3491.12,0,0,3491.12,0,0,3491.12,949.81,24.05,5292.01,0,0,3491.12,949.81,24.05,5292.01,0,0,3491.12,0,0,3491.12,0,0,3491.12,0,0,3491.12,0,0,3491.12,0,0,3491.12
1,50-59,2020,224239,224239,224239,224239,224239,224239,224239,223873,224239,224239,224239,223873,224239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600.86,0,0,600.86,0,0,600.86,0,0,600.86,0,0,600.86,0,0,600.86,0,0,601.84,0,0,600.86,0,0,600.86,0,0,600.86,0,0,601.84,0,0,600.86
1,50-59,2021,89671,89671,89671,89671,89671,89671,89671,89514,89671,89671,89671,89514,89671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1502.56,0,0,1502.56,0,0,1502.56,0,0,1502.56,0,0,1502.56,0,0,1502.56,0,0,1505.2,0,0,1502.56,0,0,1502.56,0,0,1502.56,0,0,1505.2,0,0,1502.56
1,80+,2020,99897,99897,99897,99897,99569,99897,99569,99531,99897,99897,99897,99531,99897,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1348.75,0,0,1348.75,0,0,1348.75,366.83,9.29,2043.85,0,0,1348.75,366.83,9.29,2043.85,0,0,1353.71,0,0,1348.75,0,0,1348.75,0,0,1348.75,0,0,1353.71,0,0,1348.75
1,80+,2021,23442,23442,23442,23442,23386,23442,23386,23352,23442,23442,23442,23352,23442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5747.65,0,0,5747.65,0,0,5747.65,0,0,5761.41,0,0,5747.65,0,0,5761.41,0,0,5769.8,0,0,5747.65,0,0,5747.65,0,0,5747.65,0,0,5769.8,0,0,5747.65
0,30-39,2020,148537,148537,148537,148537,148537,148537,148537,148537,148537,148537,148537,148537,148537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09,0,0,907.09
0,30-39,2021,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,60900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42,0,0,2212.42
0,18-24,2020,75484,75484,75484,75484,75484,75484,75484,75484,75484,75484,75484,75484,75484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97,0,0,1784.97
0,18-24,2021,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,32302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14,0,0,4171.14
0,12-17,2020,68675,68675,68675,68675,68675,68675,68675,68675,68675,68675,68675,68675,68675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94,0,0,1961.94
0,12-17,2021,30260,30260,30260,30260,30260,30260,30260,30260,30260,30260,30260,30260,30260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62,0,0,4452.62
1,5-11,2020,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,102500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5,0,0,1314.5
1,5-11,2021,48748,48748,48748,48748,48748,48748,48748,48748,48748,48748,48748,48748,48748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94,0,0,2763.94
0,5-11,2020,76670,76670,76670,76670,76670,76670,76670,76670,76670,76670,76670,76670,76670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35,0,0,1757.35
0,5-11,2021,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29,0,0,3757.29
1,12-17,2020,87154,87154,87154,87154,87154,87154,87154,87154,87154,87154,87154,87154,87154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96,0,0,1545.96
1,12-17,2021,39826,39826,39826,39826,39826,39826,39826,39826,39826,39826,39826,39826,39826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12,0,0,3383.12
