sex,ageband_at_covid,year,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b,IR_MIS_narrow,lb_MIS_narrow,ub_MIS_narrow,IR_KD_narrow,lb_KD_narrow,ub_KD_narrow,IR_MIS_KD_narrow,lb_MIS_KD_narrow,ub_MIS_KD_narrow,IR_MIS_broad,lb_MIS_broad,ub_MIS_broad,IR_KD_broad,lb_KD_broad,ub_KD_broad,IR_MIS_KD_broad,lb_MIS_KD_broad,ub_MIS_KD_broad,IR_MYOCARD_narrow,lb_MYOCARD_narrow,ub_MYOCARD_narrow,IR_MYOCARD_possible,lb_MYOCARD_possible,ub_MYOCARD_possible,IR_Myocardalone_narrow,lb_Myocardalone_narrow,ub_Myocardalone_narrow,IR_Myocardalone_possible,lb_Myocardalone_possible,ub_Myocardalone_possible,IR_PERICARD_narrow,lb_PERICARD_narrow,ub_PERICARD_narrow,IR_PERICARD_possible,lb_PERICARD_possible,ub_PERICARD_possible
1,80+,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14,0,0,227595.14
0,70-79,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49,0,0,223814.49
1,25-29,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94,0,0,1005494.94
1,25-29,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51,0,0,145976.51
1,12-17,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95,0,0,74030.95
1,12-17,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3,0,0,396283.3
1,5-11,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88,0,0,436039.88
1,70-79,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63,0,0,532554.63
1,70-79,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02,0,0,1161520.02
1,0-4,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1,0,0,6736816.1
1,0-4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57
0,70-79,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05,0,0,3368408.05
1,5-11,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85,0,0,4082918.85
0,0-4,2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57,0,0,744399.57
0,18-24,2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05,0,0,1236113.05
