sex,ageband_at_1_jan_2021,month,Persontime,Persontime_MIS_narrow,Persontime_KD_narrow,Persontime_MIS_KD_narrow,Persontime_MIS_broad,Persontime_KD_broad,Persontime_MIS_KD_broad,Persontime_MYOCARD_narrow,Persontime_MYOCARD_possible,Persontime_Myocardalone_narrow,Persontime_Myocardalone_possible,Persontime_PERICARD_narrow,Persontime_PERICARD_possible,MIS_narrow_b,KD_narrow_b,MIS_KD_narrow_b,MIS_broad_b,KD_broad_b,MIS_KD_broad_b,MYOCARD_narrow_b,MYOCARD_possible_b,Myocardalone_narrow_b,Myocardalone_possible_b,PERICARD_narrow_b,PERICARD_possible_b
0,18-24,2020-03,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,1971,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-04,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,1872,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-05,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,1891,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-06,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,1830,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-07,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,1886,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-08,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,1860,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-09,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,1796,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-10,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,1829,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-11,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,1757,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2020-12,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,1771,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-01,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,1676,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-02,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,1434,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-03,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,1527,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-04,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,1427,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-05,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,1382,0,0,0,0,0,0,0,0,0,0,0,0
0,18-24,2021-06,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-01,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,2414,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-02,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,2233,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-03,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,2387,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-04,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,2294,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-05,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,2325,0,0,0,0,0,0,0,0,0,0,0,0
1,18-24,2020-06,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,2203,0,0,0,0,0,0,0,0,0,0,0,0
